date,data_source,channel_group,campaign,source_medium,impressions,clicks,sessions,total_users,new_users,conversions,leads,booked,attended,total_cost,total_revenue,treatment
2025-08-31,Meta Ads,Paid Social,Lookalike Patients,instagram / paid,53534,414,405,286,141,8,8,5,4,738.24,2268.99,
2025-08-31,Organic Search,Organic Search,Local SEO,google / organic,222,15,239,179,92,13,13,8,6,0.0,2949.57,
2025-08-31,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,2,2,1,1,15.03,172.28,Cleaning
2025-08-31,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,6,6,2,4,4,3,3,50.01,2307.52,Crown
2025-08-31,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,1,1,1,1,17.02,204.75,Filling
2025-08-31,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,1,1,0,2,2,1,1,19.16,451.52,Ortho Consult
2025-08-31,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,0,0,0,0,0,0,0,0.0,0.0,Root Canal
2025-08-31,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,3,3,2,2,40.13,3370.87,Veneers
2025-08-31,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,2,2,2,2,40.96,551.61,Whitening
2025-09-01,Google Ads,Paid Search,Competitor Conquest,google / cpc,12395,581,591,510,286,24,24,13,12,2132.48,3939.02,
2025-09-01,LinkedIn Ads,Paid Social,Clinic Partnerships,linkedin / paid,30771,156,155,97,40,0,0,0,0,871.52,0.0,
2025-09-01,Meta Ads,Paid Social,Lead Gen Form,facebook / paid,24826,448,406,284,170,7,7,3,2,908.91,705.0,
2025-09-01,Organic Search,Organic Search,Blog Content,google / organic,278,17,248,193,109,16,16,8,6,0.0,3178.5,
2025-09-01,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,7,7,2,7,7,5,4,87.95,629.66,Cleaning
2025-09-01,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,1,1,0,1,1,1,1,20.65,917.5,Crown
2025-09-01,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,1,1,1,1,16.7,254.37,Extraction
2025-09-01,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,3,3,2,2,27.46,395.33,Filling
2025-09-01,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,4,4,2,2,40.97,1321.06,Implant Consult
2025-09-01,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,14.01,561.18,Ortho Consult
2025-09-01,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,0,0,0,0,0,0,0,0.0,0.0,Root Canal
2025-09-01,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,9.2,278.34,Whitening
2025-09-02,Google Ads,Paid Search,Nonbrand Search,google / cpc,8974,501,539,421,152,11,11,8,5,1273.31,2266.95,
2025-09-02,LinkedIn Ads,Paid Social,Employer Outreach,linkedin / paid,14743,184,163,103,48,2,2,1,1,938.52,325.02,
2025-09-02,Meta Ads,Paid Social,Lookalike Patients,instagram / paid,33626,359,387,281,134,9,9,6,5,506.1,2044.27,
2025-09-02,Organic Search,Organic Search,Blog Content,google / organic,564,22,259,194,74,15,15,7,6,0.0,2252.57,
2025-09-02,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,4,4,3,3,46.2,440.09,Cleaning
2025-09-02,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,1,1,0,2,2,1,1,16.31,1218.32,Crown
2025-09-02,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,1,1,0,2,2,1,1,17.01,279.13,Extraction
2025-09-02,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,1,1,0,2,2,1,1,22.49,289.25,Filling
2025-09-02,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,22.16,404.96,Ortho Consult
2025-09-02,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,4,4,3,2,54.61,2972.52,Root Canal
2025-09-02,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,2,2,1,1,21.17,1598.73,Veneers
2025-09-02,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,0,0,0,0,0,0,0,0.0,0.0,Whitening
2025-09-03,Google Ads,Paid Search,Retargeting (Search),google / cpc,16590,702,603,423,227,13,13,6,6,3201.76,2741.79,
2025-09-03,LinkedIn Ads,Paid Social,Healthcare Leaders,linkedin / paid,24785,181,168,133,71,1,1,0,0,995.43,0.0,
2025-09-03,Meta Ads,Paid Social,Lead Gen Form,facebook / paid,24806,417,421,278,111,10,10,6,5,836.44,2765.01,
2025-09-03,Organic Search,Organic Search,Local SEO,google / organic,804,26,264,176,78,13,13,7,6,0.0,2749.77,
2025-09-03,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,3,3,2,1,22.88,110.39,Cleaning
2025-09-03,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,0,4,4,3,2,40.12,678.18,Extraction
2025-09-03,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,3,3,2,2,54.11,462.39,Filling
2025-09-03,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,2,2,2,2,47.55,933.51,Implant Consult
2025-09-03,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,1,1,1,1,18.49,410.89,Ortho Consult
2025-09-03,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,6,6,1,5,5,3,3,57.3,3479.22,Root Canal
2025-09-03,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,1,1,1,1,16.53,279.1,Whitening
2025-09-04,Google Ads,Paid Search,Retargeting (Search),google / cpc,8784,483,679,536,328,30,30,22,15,1360.66,5232.23,
2025-09-04,LinkedIn Ads,Paid Social,Healthcare Leaders,linkedin / paid,19833,190,224,162,96,3,3,2,1,1354.31,460.05,
2025-09-04,Meta Ads,Paid Social,Awareness Video,facebook / paid,19109,363,453,294,157,10,10,6,4,389.69,1862.93,
2025-09-04,Organic Search,Organic Search,Local SEO,google / organic,658,26,277,230,143,7,7,4,3,0.0,949.24,
2025-09-04,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,4,4,2,2,37.43,315.58,Cleaning
2025-09-04,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,3,3,2,2,39.92,1925.64,Crown
2025-09-04,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,1,1,1,1,20.96,212.26,Extraction
2025-09-04,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,18.01,216.78,Filling
2025-09-04,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,3,3,2,1,24.65,1004.12,Implant Consult
2025-09-04,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,1,1,0,1,1,1,1,15.35,320.81,Ortho Consult
2025-09-04,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,3,3,2,1,21.53,1206.51,Root Canal
2025-09-04,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,3,3,2,2,25.8,2432.23,Veneers
2025-09-04,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,0,0,0,0,0,0,0,0.0,0.0,Whitening
2025-09-05,Google Ads,Paid Search,Competitor Conquest,google / cpc,16947,739,690,525,224,17,17,9,6,3008.83,2310.16,
2025-09-05,LinkedIn Ads,Paid Social,Clinic Partnerships,linkedin / paid,19931,208,219,138,84,1,1,1,1,1160.05,399.11,
2025-09-05,Meta Ads,Paid Social,Retargeting (Social),instagram / paid,46701,522,493,406,190,5,5,4,3,738.51,1358.86,
2025-09-05,Organic Search,Organic Search,Local SEO,google / organic,569,18,278,223,91,4,4,2,2,0.0,1099.83,
2025-09-05,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,5,5,1,7,7,5,4,81.14,654.16,Cleaning
2025-09-05,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,4,4,3,2,35.55,1733.76,Crown
2025-09-05,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,17.56,288.31,Extraction
2025-09-05,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,16.01,226.28,Filling
2025-09-05,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,5,5,3,2,30.09,1764.59,Implant Consult
2025-09-05,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,5,5,2,5,5,4,3,79.54,1261.06,Ortho Consult
2025-09-05,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,4,4,3,2,53.23,2886.52,Root Canal
2025-09-05,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,3,3,2,2,36.47,2224.41,Veneers
2025-09-05,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,23.75,245.49,Whitening
2025-09-06,Google Ads,Paid Search,Nonbrand Search,google / cpc,18598,656,685,484,291,18,18,7,5,1922.78,2721.0,
2025-09-06,LinkedIn Ads,Paid Social,Employer Outreach,linkedin / paid,14940,221,182,151,66,3,3,2,2,1518.53,1033.13,
2025-09-06,Meta Ads,Paid Social,Lead Gen Form,facebook / paid,30469,412,409,314,160,3,3,1,1,781.54,505.15,
2025-09-06,Organic Search,Organic Search,Local SEO,google / organic,555,30,299,187,74,13,13,8,6,0.0,1739.19,
2025-09-06,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,6,6,2,6,6,5,3,69.76,446.69,Cleaning
2025-09-06,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,1,1,1,1,22.76,801.52,Crown
2025-09-06,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,1,1,1,1,21.12,311.5,Extraction
2025-09-06,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,2,2,1,1,14.6,249.55,Filling
2025-09-06,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,5,5,3,2,41.56,1578.47,Implant Consult
2025-09-06,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,2,2,1,1,17.28,268.49,Ortho Consult
2025-09-06,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,1,1,1,1,20.42,990.94,Root Canal
2025-09-06,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,1,1,1,1,19.48,1632.32,Veneers
2025-09-06,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,1,1,1,1,16.79,293.02,Whitening
2025-09-07,Google Ads,Paid Search,Competitor Conquest,google / cpc,12686,577,583,452,194,23,23,10,8,3074.21,2624.44,
2025-09-07,LinkedIn Ads,Paid Social,Employer Outreach,linkedin / paid,11389,146,169,127,70,3,3,1,1,813.86,422.63,
2025-09-07,Meta Ads,Paid Social,Awareness Video,facebook / paid,43490,472,422,272,161,11,11,5,4,1003.78,1508.65,
2025-09-07,Organic Search,Organic Search,Blog Content,google / organic,440,27,281,176,108,18,18,9,8,0.0,4978.18,
2025-09-07,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,1,1,0,2,2,1,1,16.45,165.76,Cleaning
2025-09-07,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,0,0,0,0,0,0,0,0.0,0.0,Extraction
2025-09-07,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,6,6,2,7,7,4,3,48.97,2012.12,Implant Consult
2025-09-07,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,1,1,1,1,20.8,506.5,Ortho Consult
2025-09-07,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,2,2,1,1,12.02,1212.21,Root Canal
2025-09-07,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,1,1,1,1,21.05,1596.84,Veneers
2025-09-07,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,3,3,2,2,43.13,637.03,Whitening
2025-09-08,Google Ads,Paid Search,Retargeting (Search),google / cpc,11943,630,568,388,146,16,16,9,6,2410.65,2859.95,
2025-09-08,LinkedIn Ads,Paid Social,Healthcare Leaders,linkedin / paid,16269,141,164,125,49,1,1,0,0,673.79,0.0,
2025-09-08,Meta Ads,Paid Social,Lookalike Patients,facebook / paid,21106,387,352,288,169,6,6,2,2,404.81,802.44,
2025-09-08,Organic Search,Organic Search,Blog Content,google / organic,439,16,221,161,76,11,11,6,4,0.0,1538.36,
2025-09-08,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,1,1,1,1,19.24,186.94,Cleaning
2025-09-08,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,5,5,3,2,52.18,2757.74,Crown
2025-09-08,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,1,1,1,1,17.72,427.75,Extraction
2025-09-08,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,6,6,1,6,6,4,3,71.29,641.51,Filling
2025-09-08,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,0,3,3,2,2,49.43,1116.68,Implant Consult
2025-09-08,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,1,1,1,1,21.07,970.2,Root Canal
2025-09-08,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,0,0,0,0,0,0,0,0.0,0.0,Whitening
2025-09-09,Google Ads,Paid Search,Retargeting (Search),google / cpc,14602,671,547,475,187,21,21,12,10,2453.0,5190.51,
2025-09-09,LinkedIn Ads,Paid Social,Employer Outreach,linkedin / paid,13007,172,144,106,41,1,1,0,0,1095.7,0.0,
2025-09-09,Meta Ads,Paid Social,Lead Gen Form,facebook / paid,30754,412,370,262,148,10,10,6,4,840.35,1437.89,
2025-09-09,Organic Search,Organic Search,Evergreen SEO,google / organic,307,17,246,195,84,12,12,5,4,0.0,1703.28,
2025-09-09,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,6,6,1,4,4,3,3,62.06,340.91,Cleaning
2025-09-09,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,1,1,0,1,1,1,1,13.23,298.98,Extraction
2025-09-09,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,2,2,2,2,45.85,487.42,Filling
2025-09-09,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,1,1,1,1,15.93,713.05,Implant Consult
2025-09-09,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,1,1,1,1,17.01,258.58,Ortho Consult
2025-09-09,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,8.0,1235.56,Root Canal
2025-09-09,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,0,0,0,0,0,0,0,0.0,0.0,Veneers
2025-09-09,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,0,0,0,0,0,0,0,0.0,0.0,Whitening
2025-09-10,Google Ads,Paid Search,Nonbrand Search,google / cpc,16545,648,648,533,310,24,24,14,10,2649.79,5425.96,
2025-09-10,LinkedIn Ads,Paid Social,Clinic Partnerships,linkedin / paid,13880,175,186,131,54,5,5,3,3,1195.37,1285.99,
2025-09-10,Meta Ads,Paid Social,Retargeting (Social),facebook / paid,29463,410,424,291,151,8,8,3,2,614.35,469.36,
2025-09-10,Organic Search,Organic Search,Blog Content,google / organic,433,29,279,174,77,12,12,6,5,0.0,1972.24,
2025-09-10,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,5,5,1,5,5,4,3,45.72,675.38,Cleaning
2025-09-10,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,3,3,3,2,43.24,1966.65,Crown
2025-09-10,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,1,1,0,2,2,1,1,15.64,319.47,Extraction
2025-09-10,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,3,3,2,2,46.54,370.17,Filling
2025-09-10,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,1,1,0,2,2,1,1,14.83,796.06,Implant Consult
2025-09-10,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,1,1,1,1,13.49,1085.56,Root Canal
2025-09-10,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,2,2,2,2,28.58,2329.11,Veneers
2025-09-10,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,2,2,1,1,18.65,276.39,Whitening
2025-09-11,Google Ads,Paid Search,Nonbrand Search,google / cpc,9915,669,650,433,201,18,18,9,6,2456.19,1732.75,
2025-09-11,LinkedIn Ads,Paid Social,Healthcare Leaders,linkedin / paid,11629,164,196,129,64,4,4,2,2,847.39,1032.73,
2025-09-11,Meta Ads,Paid Social,Lead Gen Form,facebook / paid,25674,463,453,331,120,6,6,4,4,627.26,2064.23,
2025-09-11,Organic Search,Organic Search,Local SEO,google / organic,592,19,304,202,79,11,11,6,5,0.0,3081.05,
2025-09-11,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,2,2,1,1,27.02,195.98,Cleaning
2025-09-11,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,1,1,1,1,18.93,1131.84,Crown
2025-09-11,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,3,3,2,2,44.18,585.38,Filling
2025-09-11,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,2,2,2,2,33.25,1277.19,Implant Consult
2025-09-11,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,2,2,2,2,30.33,1037.25,Ortho Consult
2025-09-11,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,2,2,1,1,18.06,998.86,Root Canal
2025-09-11,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,2,2,2,2,22.45,2843.0,Veneers
2025-09-11,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,1,1,0,2,2,1,1,19.73,300.76,Whitening
2025-09-12,Google Ads,Paid Search,Branded Search,google / cpc,18102,820,680,453,259,14,14,9,7,1499.23,2982.51,
2025-09-12,LinkedIn Ads,Paid Social,Employer Outreach,linkedin / paid,20074,195,192,164,86,2,2,1,1,1301.83,303.01,
2025-09-12,Meta Ads,Paid Social,Lookalike Patients,instagram / paid,19130,418,448,308,143,12,12,6,4,820.96,1031.24,
2025-09-12,Organic Search,Organic Search,Blog Content,google / organic,320,21,304,204,109,14,14,9,8,0.0,5068.58,
2025-09-12,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,6,6,2,6,6,4,3,35.18,381.03,Cleaning
2025-09-12,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,3,3,2,2,37.66,1741.65,Crown
2025-09-12,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,1,1,1,1,16.99,364.43,Extraction
2025-09-12,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,2,2,2,2,35.31,378.49,Filling
2025-09-12,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,9,9,2,6,6,6,5,78.22,3081.28,Implant Consult
2025-09-12,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,4,4,1,3,3,2,2,25.6,623.53,Ortho Consult
2025-09-12,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,1,1,1,1,14.67,1762.38,Root Canal
2025-09-12,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,1,1,1,1,17.26,1806.97,Veneers
2025-09-12,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,0,0,0,0,0,0,0,0.0,0.0,Whitening
2025-09-13,Google Ads,Paid Search,Retargeting (Search),google / cpc,15648,615,594,500,277,13,13,5,3,2800.55,955.18,
2025-09-13,LinkedIn Ads,Paid Social,Clinic Partnerships,linkedin / paid,14258,174,183,140,61,1,1,1,1,669.9,445.67,
2025-09-13,Meta Ads,Paid Social,Lookalike Patients,facebook / paid,18428,362,406,314,140,12,12,7,6,682.65,3171.26,
2025-09-13,Organic Search,Organic Search,Blog Content,google / organic,421,19,244,199,83,8,8,4,3,0.0,1237.65,
2025-09-13,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,3,3,2,2,26.52,300.67,Cleaning
2025-09-13,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,3,3,1,2,2,2,2,17.59,2569.62,Crown
2025-09-13,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,18.43,273.25,Filling
2025-09-13,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,1,1,1,1,1,19.72,403.63,Ortho Consult
2025-09-13,Practice CRM,Practice CRM,CRM Intake,crm / internal,0,0,2,2,0,2,2,1,1,28.0,1098.99,Root Canal
